name,handedness,height,weight,avg,HR,RHBA,LHBA,RHHR,LHHR
Tom Brown,R,73,170,0,0,0,0,0,0
Denny Lemaster,R,73,182,0.13,4,0.13,0,4,0
Joe Nolan,L,71,175,0.263,27,0,0.263,0,27
Denny Doyle,L,69,175,0.25,16,0,0.25,0,16
Jose Cardenal,R,70,150,0.275,138,0.275,0,138,0
Mike Ryan,R,74,205,0.193,28,0.193,0,28,0
Fritz Peterson,B,72,185,0.159,2,0,0,0,0
Dick Bertell,R,72,200,0.25,10,0.25,0,10,0
Rod Kanehl,R,73,180,0.241,6,0.241,0,6,0
Ozzie Osborn,R,74,195,0,0,0,0,0,0
John LaRose,L,73,185,0,0,0,0,0,0
Jeff Byrd,R,75,195,0,0,0,0,0,0
Juan Bonilla,R,69,170,0.256,7,0.256,0,7,0
Frank Tepedino,L,71,185,0.241,6,0,0.241,0,6
Jerry Kutzler,L,73,175,0,0,0,0,0,0
Rick Wise,R,73,180,0.195,15,0.195,0,15,0
Darrell Evans,L,74,200,0.248,414,0,0.248,0,414
Buck Martinez,R,70,190,0.225,58,0.225,0,58,0
John Wockenfuss,R,72,190,0.262,86,0.262,0,86,0
Tommy McCraw,L,72,183,0.246,75,0,0.246,0,75
Jeff Barkley,B,75,185,0,0,0,0,0,0
Eric Wilkins,R,73,190,0,0,0,0,0,0
Britt Burns,L,77,215,0,0,0,0,0,0
Lee Lacy,R,73,175,0.286,91,0.286,0,91,0
Pete Rose,B,71,192,0.303,160,0,0,0,0
Danny Walton,R,72,195,0.223,28,0.223,0,28,0
Bobby Cox,R,71,180,0.225,9,0.225,0,9,0
Brad Wellman,R,72,170,0.231,6,0.231,0,6,0
Jeff Newman,R,74,215,0.224,63,0.224,0,63,0
Pedro Gonzalez,R,72,176,0.244,8,0.244,0,8,0
Nardi Contreras,B,74,193,0,0,0,0,0,0
Tommie Reynolds,R,74,190,0.226,12,0.226,0,12,0
Gene Clines,R,69,170,0.277,5,0.277,0,5,0
Jim Hickman,R,75,192,0.252,159,0.252,0,159,0
Jack Billingham,R,76,195,0.111,0,0.111,0,0,0
Jerry Buchek,R,71,185,0.22,22,0.22,0,22,0
Ivan DeJesus,R,71,175,0.254,21,0.254,0,21,0
Gary Nolan,R,74,197,0.138,1,0.138,0,1,0
Gil Patterson,R,73,185,0,0,0,0,0,0
Fred Whitfield,L,73,190,0.253,108,0,0.253,0,108
Larry Dierker,R,76,215,0.136,4,0.136,0,4,0
Dave Skaggs,R,74,200,0.241,3,0.241,0,3,0
Dick Ruthven,R,75,190,0.183,1,0.183,0,1,0
Jerry Garvin,L,75,195,0,0,0,0,0,0
Steve Eddy,R,74,185,0,0,0,0,0,0
Dave Kingman,R,78,210,0.236,442,0.236,0,442,0
Eric Soderholm,R,71,187,0.264,102,0.264,0,102,0
Kevin Mmahat,L,77,220,0,0,0,0,0,0
Ed Brinkman,R,72,170,0.224,60,0.224,0,60,0
Wayne Garrett,L,71,175,0.239,61,0,0.239,0,61
Tony Muser,L,74,180,0.259,7,0,0.259,0,7
Jim Siwy,R,76,200,0,0,0,0,0,0
Bud Anderson,R,75,210,0,0,0,0,0,0
Ted Ford,R,70,180,0.219,17,0.219,0,17,0
Kevin Stanfield,L,72,190,0,0,0,0,0,0
Jim Lyttle,L,72,180,0.248,9,0,0.248,0,9
John Butcher,R,76,185,0,0,0,0,0,0
